,6zkw,7dzm,7l1d,7n2n,7n2o,7n2p,7n2q,7n2r,7n2s,7na5,7ndq,7nme,7nmg,7ow5,7ow6,7pbc,7pbe,7pdw,7phr,7q99,7q9a,7q9b,7qpj,7r80,7rdv,7rrg,7sg0,7sg1,7t2b,7t2c,7z50,8cx4,8d5q,8dnt,8gom,8gon,8gvb,8shi
0,0.625,0.5,0.42857142857142855,0.4,0.4166666666666667,0.2857142857142857,0.2857142857142857,0.7142857142857143,0.5833333333333334,0.5,0.375,0.4,0.18181818181818182,0.3333333333333333,0.5384615384615384,0.3076923076923077,0.625,0.25,0.5833333333333334,0.45454545454545453,0.5555555555555556,0.1,0.4166666666666667,0.46153846153846156,0.0,0.5,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.42857142857142855,0.2222222222222222,0.7,0.5454545454545454,0.18181818181818182,0.7,0.4444444444444444,0.2,0.3076923076923077
1,0.625,0.375,0.42857142857142855,0.6,0.4166666666666667,0.7142857142857143,0.2857142857142857,0.7142857142857143,0.75,0.6666666666666666,0.125,0.5,0.36363636363636365,0.4166666666666667,0.46153846153846156,0.3076923076923077,0.375,0.4166666666666667,0.4166666666666667,0.2727272727272727,0.4444444444444444,0.2,0.4166666666666667,0.5384615384615384,0.1,0.4,0.5555555555555556,0.25,0.4166666666666667,0.5,0.2222222222222222,0.6,0.6363636363636364,0.18181818181818182,0.5,0.3333333333333333,0.2,0.15384615384615385
2,0.625,0.5,0.5714285714285714,0.5,0.16666666666666666,0.7142857142857143,0.5714285714285714,0.8571428571428571,0.6666666666666666,0.3333333333333333,0.375,0.4,0.18181818181818182,0.25,0.38461538461538464,0.15384615384615385,0.375,0.25,0.5,0.2727272727272727,0.5555555555555556,0.4,0.25,0.38461538461538464,0.1,0.3,0.5555555555555556,0.3333333333333333,0.4166666666666667,0.2857142857142857,0.1111111111111111,0.6,0.5454545454545454,0.2727272727272727,0.6,0.2222222222222222,0.2,0.38461538461538464
3,0.625,0.5,0.42857142857142855,0.5,0.4166666666666667,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.5,0.5,0.25,0.2,0.18181818181818182,0.4166666666666667,0.46153846153846156,0.38461538461538464,0.375,0.3333333333333333,0.6666666666666666,0.2727272727272727,0.5555555555555556,0.0,0.4166666666666667,0.46153846153846156,0.1,0.1,0.3333333333333333,0.3333333333333333,0.5,0.35714285714285715,0.2222222222222222,0.4,0.6363636363636364,0.2727272727272727,0.6,0.5555555555555556,0.2,0.3076923076923077
4,0.375,0.375,0.35714285714285715,0.7,0.4166666666666667,1.0,0.2857142857142857,0.5714285714285714,0.6666666666666666,0.3333333333333333,0.25,0.4,0.2727272727272727,0.4166666666666667,0.38461538461538464,0.3076923076923077,0.625,0.16666666666666666,0.5,0.5454545454545454,0.5555555555555556,0.0,0.5,0.38461538461538464,0.1,0.2,0.3333333333333333,0.16666666666666666,0.4166666666666667,0.42857142857142855,0.1111111111111111,0.6,0.5454545454545454,0.5454545454545454,0.6,0.3333333333333333,0.2,0.3076923076923077
5,0.375,0.375,0.5714285714285714,0.5,0.4166666666666667,0.2857142857142857,0.14285714285714285,0.7142857142857143,0.5833333333333334,0.5,0.25,0.4,0.45454545454545453,0.4166666666666667,0.38461538461538464,0.23076923076923078,0.625,0.3333333333333333,0.4166666666666667,0.45454545454545453,0.3333333333333333,0.2,0.5,0.3076923076923077,0.3,0.3,0.3333333333333333,0.16666666666666666,0.4166666666666667,0.42857142857142855,0.2222222222222222,0.4,0.6363636363636364,0.36363636363636365,0.5,0.4444444444444444,0.3,0.3076923076923077
6,0.375,0.5,0.5714285714285714,0.6,0.3333333333333333,0.5714285714285714,0.42857142857142855,0.7142857142857143,0.6666666666666666,0.3333333333333333,0.375,0.3,0.45454545454545453,0.4166666666666667,0.38461538461538464,0.3076923076923077,0.75,0.4166666666666667,0.4166666666666667,0.18181818181818182,0.3333333333333333,0.1,0.5,0.3076923076923077,0.1,0.4,0.2222222222222222,0.16666666666666666,0.4166666666666667,0.5,0.3333333333333333,0.7,0.5454545454545454,0.18181818181818182,0.5,0.3333333333333333,0.4,0.07692307692307693
7,0.5,0.25,0.5,0.5,0.4166666666666667,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.5833333333333334,0.5,0.375,0.3,0.18181818181818182,0.4166666666666667,0.38461538461538464,0.15384615384615385,0.5,0.3333333333333333,0.4166666666666667,0.2727272727272727,0.5555555555555556,0.0,0.4166666666666667,0.46153846153846156,0.2,0.3,0.3333333333333333,0.08333333333333333,0.4166666666666667,0.5714285714285714,0.3333333333333333,0.6,0.6363636363636364,0.45454545454545453,0.5,0.3333333333333333,0.2,0.3076923076923077
8,0.5,0.375,0.42857142857142855,0.7,0.25,0.5714285714285714,0.2857142857142857,0.5714285714285714,0.5833333333333334,0.5,0.5,0.3,0.45454545454545453,0.16666666666666666,0.23076923076923078,0.23076923076923078,0.5,0.25,0.5,0.36363636363636365,0.4444444444444444,0.2,0.5,0.5384615384615384,0.1,0.2,0.3333333333333333,0.25,0.5833333333333334,0.5,0.1111111111111111,0.7,0.8181818181818182,0.5454545454545454,0.5,0.3333333333333333,0.2,0.15384615384615385
9,0.375,0.625,0.35714285714285715,0.5,0.3333333333333333,0.42857142857142855,0.42857142857142855,0.7142857142857143,0.5833333333333334,0.8333333333333334,0.375,0.5,0.09090909090909091,0.4166666666666667,0.6923076923076923,0.3076923076923077,0.625,0.25,0.6666666666666666,0.2727272727272727,0.5555555555555556,0.2,0.4166666666666667,0.3076923076923077,0.3,0.4,0.4444444444444444,0.25,0.4166666666666667,0.35714285714285715,0.1111111111111111,0.5,0.6363636363636364,0.45454545454545453,0.7,0.3333333333333333,0.2,0.3076923076923077
